Taille,Algorithme naïf,Algorithme amélioré
100,0.0396075249,0.0400950909
200,0.0486760139,0.0504364967
300,0.0608408451,0.0562081337
400,0.0784430504,0.0579638481
500,0.0943603516,0.0604202747
600,0.1143760681,0.0691494942
700,0.1398441792,0.0821683407
800,0.1660587788,0.0789427757
900,0.2014760971,0.0952951908
1000,0.2287209034,0.087798357
1100,0.2439324856,0.1045963764
1200,0.2926473618,0.1049413681
1300,0.3219587803,0.1078937054
1400,0.3768632412,0.1231422424
1500,0.4147171974,0.1396431923
1600,0.464766264,0.1288278103
1700,0.5199999809,0.1470863819
1800,0.5583899021,0.1542901993
1900,0.6272423267,0.1450631618
2000,0.6692173481,0.1517214775
2100,0.7568497658,0.1550781727
2200,0.821744442,0.1738173962
2300,0.8827493191,0.1759397984
2400,0.9099488258,0.1798853874
2500,1.0333595276,0.196395874
2600,1.1180710793,0.1889212132
2700,1.1917090416,0.1957776546
2800,1.2190594673,0.1989343166
2900,1.3745348454,0.2131590843
3000,1.4561138153,0.2106900215
3100,1.5600488186,0.2243056297
3200,1.6140806675,0.2676978111
3300,1.7360610962,0.232060194
3400,1.8363056183,0.2451608181
3500,2.0240821838,0.2442510128
3600,2.1599056721,0.2743089199
3700,3.1037149429,0.2741622925
3800,2.5550143719,0.2789494991
3900,3.2453334332,0.2807831764
4000,3.1288712025,0.2799727917
4100,4.303855896,0.2839093208
4200,4.2084743977,0.3032376766
4300,4.3946917057,0.2990090847
4400,4.301933527,0.3004765511
4500,3.5539503098,0.3128211498
4600,4.7047047615,0.3204910755
4700,4.4019322395,0.3235464096
4800,4.3169724941,0.3971540928
4900,5.0764501095,0.3277080059
5000,5.8801271915,0.3582322598
5100,4.8855526447,0.3422541618
5200,5.9866075516,0.3625376225
5300,6.4007132053,0.370531559
5400,6.3527438641,0.3709201813
5500,7.7002675533,0.3912513256
5600,8.5017905235,0.4000053406
5700,10.0728497505,0.3970398903
5800,10.6465404034,0.4000601768
5900,8.9195649624,0.417869091
6000,11.2252249718,0.4113690853
6100,9.9663968086,0.4262599945
6200,10.6819043159,0.4482204914
6300,10.6813230515,0.4357922077
6400,12.0708022118,0.4314875603
6500,13.0033290386,0.44987607
6600,15.9130978584,0.4567379951
6700,17.0133359432,0.4652183056
6800,14.1181468964,0.4719526768
6900,12.4089989662,0.4949660301
7000,15.5978693962,0.4759659767
7100,17.4376914501,0.472338438
7200,14.598664999,0.4972853661
7300,16.5537731647,0.5110011101
7400,15.2614121437,0.4974248409
7500,14.1377499104,0.4924225807
7600,16.2106993198,0.5155053139
7700,19.076048851,0.5166926384
7800,17.2915298939,0.5107889175
7900,16.7220492363,0.5171248913
8000,18.8276517391,0.5391969681
8100,22.4002737999,0.543856144
8200,21.6347990036,0.553691864
8300,21.6646296978,0.5558333397
8400,22.1471500397,0.571665287
8500,18.923899889,0.5660619736
8600,25.9023633003,0.580368042
8700,20.2068943977,0.5905776024
8800,21.549323082,0.5811841488
8900,22.0920460224,0.5872709751
9000,22.4619860649,0.6143035889
9100,23.5784749985,0.6014597416
9200,24.8572568893,0.6169171333
9300,32.4976301193,0.618761301
9400,31.8134865761,0.6577444077
9500,29.1180660725,0.63276577
9600,28.7262625694,0.6643614769
9700,29.7307050228,0.6473522186
9800,30.7390408516,0.6881821156
9900,28.6674816608,0.6814246178
